snapshot_date,warehouse_id,product_id,opening_stock_tons,stock_in_tons,stock_out_tons,closing_stock_tons,holding_cost_per_ton_inr,warehouse_capacity_tons,reorder_point_tons
2024-01-01,1,1,10654.5,1264.1,1165.1,10753.5,32.3,42037,8407.4
2024-01-08,1,1,10753.5,1456.5,1411.6,10798.4,18.5,42037,8407.4
2024-01-15,1,1,10798.4,490.5,544.5,10744.4,38.09,42037,8407.4
2024-01-22,1,1,10744.4,1774.4,1734.4,10784.4,26.48,42037,8407.4
2024-01-29,1,1,10784.4,1644.1,1890.2,10538.3,20.14,42037,8407.4
2024-02-05,1,1,10538.3,1397.3,1377.7,10557.9,39.59,42037,8407.4
2024-02-12,1,1,10557.9,1843.6,1629.4,10772.1,33.88,42037,8407.4
2024-02-19,1,1,10772.1,1939.4,1836.5,10875.0,29.56,42037,8407.4
2024-02-26,1,1,10875.0,1528.0,1363.8,11039.2,20.3,42037,8407.4
2024-03-04,1,1,11039.2,1319.2,1363.3,10995.1,32.58,42037,8407.4
2024-03-11,1,1,10995.1,1370.3,1412.8,10952.6,33.16,42037,8407.4
2024-03-18,1,1,10952.6,1187.9,1310.8,10829.7,32.04,42037,8407.4
2024-03-25,1,1,10829.7,635.1,579.0,10885.8,37.94,42037,8407.4
2024-04-01,1,1,10885.8,606.8,654.6,10838.0,20.79,42037,8407.4
2024-04-08,1,1,10838.0,1419.7,1629.4,10628.3,29.9,42037,8407.4
2024-04-15,1,1,10628.3,1148.2,1067.8,10708.7,32.06,42037,8407.4
2024-04-22,1,1,10708.7,1294.4,1293.0,10710.1,35.05,42037,8407.4
2024-04-29,1,1,10710.1,1171.0,1199.9,10681.2,18.56,42037,8407.4
2024-05-06,1,1,10681.2,871.6,907.0,10645.8,30.73,42037,8407.4
2024-05-13,1,1,10645.8,1667.2,1464.0,10849.0,24.09,42037,8407.4
2024-05-20,1,1,10849.0,1410.9,1310.3,10949.6,24.83,42037,8407.4
2024-05-27,1,1,10949.6,1295.8,1328.3,10917.1,26.74,42037,8407.4
2024-06-03,1,1,10917.1,544.2,634.8,10826.5,24.5,42037,8407.4
2024-06-10,1,1,10826.5,1657.1,1825.3,10658.3,19.39,42037,8407.4
2024-06-17,1,1,10658.3,1583.8,1392.3,10849.8,19.26,42037,8407.4
2024-06-24,1,1,10849.8,1406.7,1593.9,10662.6,20.98,42037,8407.4
2024-07-01,1,1,10662.6,1941.2,1830.7,10773.1,30.3,42037,8407.4
2024-07-08,1,1,10773.1,782.9,769.3,10786.7,19.37,42037,8407.4
2024-07-15,1,1,10786.7,1159.4,1092.4,10853.7,30.5,42037,8407.4
2024-07-22,1,1,10853.7,1323.0,1495.3,10681.4,34.69,42037,8407.4
2024-07-29,1,1,10681.4,2089.6,1862.0,10909.0,19.93,42037,8407.4
2024-08-05,1,1,10909.0,688.0,685.3,10911.7,29.53,42037,8407.4
2024-08-12,1,1,10911.7,1692.1,1761.4,10842.4,29.32,42037,8407.4
2024-08-19,1,1,10842.4,940.3,829.2,10953.5,20.66,42037,8407.4
2024-08-26,1,1,10953.5,2050.1,1835.0,11168.6,19.11,42037,8407.4
2024-09-02,1,1,11168.6,1602.2,1684.3,11086.5,22.94,42037,8407.4
2024-09-09,1,1,11086.5,1278.6,1134.3,11230.8,26.78,42037,8407.4
2024-09-16,1,1,11230.8,922.7,915.9,11237.6,27.01,42037,8407.4
2024-09-23,1,1,11237.6,534.2,589.7,11182.1,18.38,42037,8407.4
2024-09-30,1,1,11182.1,1374.1,1318.2,11238.0,33.8,42037,8407.4
2024-10-07,1,1,11238.0,944.8,865.6,11317.2,27.04,42037,8407.4
2024-10-14,1,1,11317.2,720.1,638.2,11399.1,33.26,42037,8407.4
2024-10-21,1,1,11399.1,1210.0,1403.6,11205.5,18.31,42037,8407.4
2024-10-28,1,1,11205.5,1540.3,1383.1,11362.7,32.24,42037,8407.4
2024-11-04,1,1,11362.7,600.2,576.3,11386.6,25.67,42037,8407.4
