shipment_id,shipment_date,route_id,origin_id,destination_id,product_id,supplier_id,quantity_tons,distance_km,fuel_cost_inr,freight_cost_inr,handling_cost_inr,planned_delivery_date,actual_delivery_date,delay_days,demurrage_cost_inr,shipment_status,transport_mode_id
1,2024-06-30,15,2,10,1,6,2072.4,225,8645.02,7326.44,120089.44,2024-07-02,2024-07-05,3.0,190910.01,Delivered,3
2,2025-06-27,9,11,3,4,5,278.2,941,5139.72,11445.32,14946.93,2025-06-29,2025-07-02,3.0,16732.92,Delivered,1
3,2024-01-17,4,10,8,3,5,2623.6,1052,48435.86,130233.02,141462.42,2024-01-19,2024-01-19,0.0,0.0,Delivered,1
4,2024-04-16,4,10,8,3,3,1155.1,1052,22310.43,29658.9,35573.15,2024-04-18,2024-04-18,0.0,0.0,Delivered,2
5,2024-04-06,15,2,10,4,2,1127.3,225,4634.29,11637.62,59163.2,2024-04-08,2024-04-08,0.0,0.0,Delivered,1
6,2024-09-25,4,10,8,1,2,1059.9,1052,20835.05,59444.95,29645.29,2024-09-27,2024-10-01,4.0,107494.19,Delivered,1
7,2025-04-07,15,2,10,1,5,2764.6,225,12661.62,33147.83,120318.62,2025-04-09,2025-04-09,0.0,0.0,Delivered,1
8,2024-01-15,4,10,8,1,5,2832.8,1052,54003.28,160260.14,133821.54,2024-01-17,2024-01-18,1.0,50065.8,Delivered,1
9,2025-06-08,21,3,8,1,5,1945.7,1032,40758.25,93108.59,89133.52,2025-06-10,2025-06-12,2.0,81167.03,Delivered,1
10,2024-09-11,4,10,8,1,5,2664.6,1052,51981.19,139983.95,82404.11,2024-09-13,2024-09-17,4.0,169668.3,Delivered,1
11,2025-06-25,4,10,8,1,1,1221.1,1052,25281.68,59618.66,54147.42,2025-06-27,2025-07-03,6.0,232403.59,Delivered,1
12,2024-11-20,15,2,10,1,5,2893.2,225,12325.53,30185.67,78107.9,2024-11-22,2024-11-22,0.0,0.0,Delivered,1
13,2024-12-22,15,2,10,1,7,1703.9,225,7290.87,16771.6,68254.7,2024-12-24,2024-12-24,0.0,0.0,Delivered,1
14,2024-10-25,4,10,8,1,7,2404.6,1052,46635.9,109718.59,73210.08,2024-10-27,2024-10-27,0.0,0.0,Delivered,1
